infinitive,root,syllables,meaning
kusoma,soma,2,read/to read
kuenda,enda,2,go/to go
kula,la,1,eat/to eat
kunywa,nywa,1,drink/to drink
kuandika,andika,3,write/to write
kusema,sema,2,speak/to speak
kupenda,penda,2,love/to love
kuona,ona,2,see/to see
kufanya,fanya,2,do/to do
kujua,jua,2,know/to know
kuja,ja,1,come/to come
kuleta,leta,2,bring/to bring
kuchukua,chukua,3,take/to take
kusaidia,saidia,3,help/to help
kuuliza,uliza,3,ask/to ask
kujibu,jibu,2,answer/to answer
kufika,fika,2,arrive/to arrive
kuondoka,ondoka,3,leave/to leave
kusimama,simama,3,stand/to stand
kukaa,kaa,2,sit/stay/to sit
